symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
MNRO,"Monro, Inc.",79.60,+0.65,+0.82%,"80,140","357,133",2.644B,32.91,
RH,RH,142.08,+2.88,+2.07%,"91,876","929,122",2.716B,23.37,
SHOO,"Steven Madden, Ltd.",30.76,+0.62,+2.06%,"64,431","621,801",2.64B,18.77,
BYD,Boyd Gaming Corporation,23.66,+0.65,+2.84%,"80,090",1.208M,2.63B,21.00,
THO,"Thor Industries, Inc.",46.46,+1.39,+3.08%,"257,887","874,244",2.558B,19.16,
SEAS,"SeaWorld Entertainment, Inc.",31.98,+0.35,+1.09%,"318,973",1.782M,2.513B,38.71,
TMHC,Taylor Morrison Home Corporation,22.96,+0.49,+2.18%,"166,702","915,841",2.465B,10.93,
IGT,International Game Technology PLC,12.05,+0.37,+3.17%,"437,682",2.575M,2.463B,N/A,
DORM,"Dorman Products, Inc.",75.08,+1.55,+2.11%,"18,354","181,542",2.462B,21.81,
JW-A,"John Wiley & Sons, Inc.",43.27,+0.98,+2.32%,"16,433","269,957",2.455B,14.87,
MTH,Meritage Homes Corporation,63.49,+1.55,+2.50%,"100,954","439,895",2.43B,12.18,
KBH,KB Home,27.31,+0.46,+1.71%,"140,925",1.596M,2.409B,10.82,
HGV,Hilton Grand Vacations Inc.,28.04,+0.42,+1.52%,"213,713",1.928M,2.409B,10.43,
YETI,"YETI Holdings, Inc.",27.92,+0.25,+0.90%,"405,700",1.631M,2.37B,36.03,
JW-B,"John Wiley & Sons, Inc.",41.90,0.00,0.00%,218,423,2.351B,14.40,
LGF-A,Lions Gate Entertainment Corp.,10.92,-0.15,-1.36%,"305,795",1.034M,2.303B,N/A,
LGF-B,Lions Gate Entertainment Corp.,10.39,-0.12,-1.14%,"145,092","786,677",2.308B,N/A,
MMYT,MakeMyTrip Limited,22.28,+0.85,+3.97%,"74,223","275,514",2.294B,N/A,
MDC,"M.D.C. Holdings, Inc.",36.79,+0.64,+1.78%,"75,356","436,949",2.28B,11.40,
RRR,"Red Rock Resorts, Inc.",19.49,+0.75,+4.00%,"109,745","771,058",2.283B,15.25,
JACK,Jack in the Box Inc.,86.77,-0.78,-0.89%,"105,915","554,546",2.213B,25.91,
LCII,LCI Industries,86.79,+1.07,+1.25%,"25,127","174,484",2.172B,16.08,
EYE,"National Vision Holdings, Inc.",27.94,+0.23,+0.81%,"136,450","910,563",2.171B,152.70,
ADNT,Adient plc,22.96,+0.26,+1.15%,"168,868",1.836M,2.15B,N/A,
WWW,"Wolverine World Wide, Inc.",24.05,+0.62,+2.65%,"181,696","829,852",2.135B,12.03,
PENN,"Penn National Gaming, Inc.",18.14,+0.67,+3.84%,"431,755",1.792M,2.125B,23.65,
SFIX,"Stitch Fix, Inc.",20.87,+0.19,+0.92%,"471,509",3.141M,2.105B,47.32,
URBN,"Urban Outfitters, Inc.",20.88,+0.37,+1.80%,"534,407",2.81M,2.045B,7.84,
MDP,Meredith Corporation,44.76,+0.04,+0.10%,"46,763","368,998",2.022B,N/A,
TPH,"TRI Pointe Group, Inc.",13.84,+0.27,+1.99%,"127,479",1.496M,1.969B,10.56,
ISCA,International Speedway Corporation,45.12,+0.02,+0.04%,"7,061","169,074",1.964B,26.05,
GOLF,Acushnet Holdings Corp.,25.53,+0.19,+0.75%,"24,625","180,223",1.924B,21.17,
WW,"Weight Watchers International, Inc.",28.45,+0.70,+2.52%,"298,159",2.476M,1.915B,12.66,
KTB,"Kontoor Brands, Inc.",32.96,+0.44,+1.35%,"65,242",1.365M,1.875B,10.63,
WMS,"Advanced Drainage Systems, Inc.",32.35,+0.20,+0.62%,"47,695","267,760",1.871B,N/A,
DAN,Dana Incorporated,12.84,+0.03,+0.25%,"376,311",1.968M,1.848B,8.32,
VC,Visteon Corporation,65.07,+1.19,+1.86%,"63,279","619,787",1.819B,21.94,
ABG,"Asbury Automotive Group, Inc.",91.23,+1.16,+1.29%,"14,427","129,965",1.765B,9.90,
