symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
ECOM,ChannelAdvisor Corporation,8.99,+0.07,+0.78%,"15,975","102,709",252.104M,N/A,
PLPC,Preformed Line Products Company,49.53,+0.73,+1.50%,"1,066","8,073",250.544M,11.04,
ALLT,Allot Ltd.,7.22,+0.07,+0.98%,"30,112","61,200",245.746M,N/A,
SILC,Silicom Ltd.,30.66,+0.16,+0.51%,"3,903","29,623",232.989M,12.00,
HURC,"Hurco Companies, Inc.",32.70,+0.20,+0.62%,"8,866","19,826",221.289M,8.39,
HBB,Hamilton Beach Brands Holding Company,14.35,+0.15,+1.06%,"4,482","42,746",196.294M,9.69,
GSIT,"GSI Technology, Inc.",8.42,+0.06,+0.72%,"3,596","80,904",192.887M,115.34,
PERI,Perion Network Ltd.,6.26,+0.63,+11.19%,"510,769","198,860",159.606M,14.56,
KVHI,"KVH Industries, Inc.",8.75,-0.12,-1.35%,"11,194","28,468",157.742M,3.99,
BELFA,Bel Fuse Inc.,11.25,0.00,0.00%,"2,892","1,453",154.827M,7.07,
TZOO,Travelzoo,11.97,+0.35,+3.01%,"33,669","84,815",142.029M,24.53,
BELFB,Bel Fuse Inc.,11.80,+0.27,+2.34%,"3,918","39,722",142.132M,7.42,
TESS,TESSCO Technologies Incorporated,14.19,+0.17,+1.21%,"12,799","68,314",120.801M,63.35,
PCTI,"PCTEL, Inc.",6.09,+0.39,+6.93%,"119,682","66,030",112.256M,N/A,
FTEO,"FRONTEO, Inc.",5.22,0.00,0.00%,0,73,96.864M,27.19,
RELL,"Richardson Electronics, Ltd.",5.70,+0.09,+1.69%,932,"19,519",75.625M,N/A,
ASYS,"Amtech Systems, Inc.",5.12,+0.10,+1.99%,"46,440","56,036",73.048M,N/A,
AVNW,"Aviat Networks, Inc.",12.73,-0.05,-0.40%,353,"6,492",68.455M,12.03,
MINDP,"Mitcham Industries, Inc.",23.49,-0.11,-0.47%,"2,422","4,982",44.278M,N/A,
CHNGU,Change Healthcare Inc.,57.44,+1.39,+2.48%,"2,334","291,788",N/A,N/A,
