symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
HURN,Huron Consulting Group Inc.,61.67,+0.83,+1.36%,"8,968","89,901",1.414B,54.53,
RCII,"Rent-A-Center, Inc.",25.64,-0.10,-0.39%,"271,171",1.005M,1.386B,39.57,
DY,"Dycom Industries, Inc.",43.81,+0.29,+0.67%,"47,132","422,434",1.379B,23.19,
AVYA,Avaya Holdings Corp.,12.40,-0.12,-0.96%,"267,255",1.302M,1.377B,N/A,
GVA,Granite Construction Incorporated,29.27,+0.88,+3.10%,"102,048","499,412",1.371B,N/A,
MINI,"Mobile Mini, Inc.",30.65,+0.50,+1.68%,"114,041","435,533",1.37B,N/A,
ATKR,Atkore International Group Inc.,29.06,+0.51,+1.80%,"32,007","310,271",1.36B,11.43,
ATU,Actuant Corporation,22.17,+0.61,+2.83%,"22,991","283,519",1.363B,N/A,
ECOL,"US Ecology, Inc.",61.61,+0.45,+0.74%,"10,493","130,504",1.361B,26.92,
HLIO,"Helios Technologies, Inc.",42.09,+0.77,+1.86%,"11,421","77,849",1.348B,26.18,
HNI,HNI Corporation,31.43,+0.30,+0.96%,"16,482","217,428",1.348B,15.60,
